,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,0.019319868087768553,0.0020244090557917033,0.008342266082763672,0.0013911294276732755,5,0.01,poly,"{'C': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.6921552562261135,0.7078490484471877,0.6834500223771629,0.7133334870879933,0.710972854512552,0.7015521337302019,0.01168921848728821,13
14,0.018927621841430663,0.002494917836883128,0.011422538757324218,0.005178372287670717,5,0.01,rbf,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.69137092285449,0.7191215106763236,0.7038321127874542,0.7866173965899752,0.690798046034155,0.7183479977884796,0.03566169504083622,3
15,0.03897638320922851,0.011787795003982485,0.00964341163635254,0.0017705714921041615,5,0.001,linear,"{'C': 5, 'gamma': 0.001, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
16,0.03734612464904785,0.009065089917328085,0.010727214813232421,0.0023273586083518956,5,0.001,poly,"{'C': 5, 'gamma': 0.001, 'kernel': 'poly'}",0.06438436461656127,0.0617595884632709,0.05916353208069258,0.06015785933880591,0.08042612155806983,0.0651782932114801,0.00782555099384893,35
17,0.015049552917480469,0.002092639832638213,0.008291101455688477,0.0008155421848453283,5,0.001,rbf,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.6922817151569709,0.7706341234341147,0.7000828011931963,0.7309338421821299,0.7347801399641114,0.7257425243861046,0.02793539364135619,2
18,0.029646778106689455,0.006736052763436268,0.0070324897766113285,0.0006531158780846422,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
19,0.012730121612548828,0.0013138624945547564,0.005435371398925781,0.0002357526793426415,10,0.1,poly,"{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}",0.6947280067621945,0.7077557499660895,0.687912109250259,0.7436058160848307,0.7085623326649684,0.7085128029456683,0.01921720239860316,9
20,0.021859407424926758,0.0008944660452542495,0.010968303680419922,0.0005128783335022299,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.4952093217844248,0.4824981055263232,0.5407032369285013,0.5507021650193207,0.5744870879857735,0.5287199834488687,0.03458574553807088,29
21,0.024027061462402344,0.00727723152588274,0.006026458740234375,0.0009288924478626474,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
22,0.012435102462768554,0.0009030880686879532,0.00555872917175293,0.0008088603767718787,10,0.01,poly,"{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}",0.6947280267275078,0.7077557414475956,0.6879121096833392,0.7436058363507814,0.7085623502043015,0.7085128128827052,0.01921720691925821,7
