,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.054379844665527345,0.053807280545312954,0.006270790100097656,0.0009124913217270576,0.01,absolute_error,6,log2,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3}",0.18836238394190874,-0.05015544665367533,-0.0500434918478907,-0.03665362966150654,0.27179306678307946,0.06466057651238313,0.13770280791166475,49
15,0.5120760440826416,0.07173919246160095,0.005434989929199219,0.0010680461652597072,0.01,absolute_error,6,1.0,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 1}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
16,0.3777749061584473,0.03102674468826832,0.005282306671142578,0.0009150415437983992,0.01,absolute_error,6,1.0,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 2}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
17,0.3269659996032715,0.03765816181217808,0.004958057403564453,0.0014346274179411085,0.01,absolute_error,6,1.0,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 3}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
18,0.05173583030700683,0.0050790420456091655,0.004588794708251953,0.0006248105820489917,0.01,absolute_error,7,sqrt,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.12573951809269357,0.28783643707371265,0.17723187352316438,0.5281821793168451,-0.09503442083590419,0.2047911174341023,0.2041481445920924,41
19,0.05633268356323242,0.0038783894634846065,0.006737756729125977,0.0007354215974771127,0.01,absolute_error,7,sqrt,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.23326742035522907,0.34821146616611764,0.36229073255157074,0.4867489285025278,0.5215032384238154,0.3904043571998521,0.10366467666783251,28
20,0.054339599609375,0.009855238262858383,0.006439065933227539,0.0013068815850931221,0.01,absolute_error,7,sqrt,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 3}",-0.07261353059365327,0.34821146616611764,0.21838821389111684,-0.03665362966150654,0.5607462550475124,0.20361575496991743,0.23778155299295628,42
21,0.03988504409790039,0.0028706796793716636,0.006172657012939453,0.0009111861655078311,0.01,absolute_error,7,log2,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1}",0.18787972466369796,-0.05015544665367533,-0.0500434918478907,-0.03665362966150654,-0.09503442083590419,-0.008801452867055758,0.10030594468244652,53
22,0.031909513473510745,0.0032316775466981564,0.005455398559570312,0.0007904023536099811,0.01,absolute_error,7,log2,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2}",0.07618331003992396,-0.05015544665367533,-0.0500434918478907,0.39938189300573346,0.1622448892561259,0.10752223076004346,0.16664211151236308,46
23,0.02266221046447754,0.0016453464443568968,0.0042858123779296875,0.00037428937796670457,0.01,absolute_error,7,log2,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3}",-0.08862909711092826,0.23927852904424296,-0.0500434918478907,-0.03665362966150654,-0.09503442083590419,-0.006216422082397343,0.12473611552878412,52
