,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.00680246353149414,0.001166408453973352,0.00299983024597168,3.814697265625e-07,5,0.001,rbf,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.6770591436132543,0.7680672240506222,0.6251094991456565,0.7165985946798967,0.7287270723879116,0.7031123067754683,0.048621688094787494,1
18,0.017603969573974608,0.004499845166225073,0.003201007843017578,0.0004004241278143665,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
19,0.00620121955871582,0.00040032893080249273,0.002800464630126953,0.00040018559567517087,10,0.1,poly,"{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}",0.689150350066352,0.705040213947489,0.593423234958961,0.743217008658288,0.7057268612008961,0.6873115337663973,0.050194116003194005,4
20,0.009202098846435547,0.0004001379687844432,0.0052010536193847655,0.00040009025666136835,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.494276887223873,0.4832238193939947,0.5289741005938657,0.5508452974855551,0.5748835848285347,0.5264407379051647,0.0342079675196172,22
21,0.016402721405029297,0.005537086653113524,0.0032011032104492187,0.0004010917846621547,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
22,0.006201410293579101,0.00039999497450525176,0.0026006698608398438,0.0004896873154151949,10,0.01,poly,"{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}",0.6891503678997912,0.7050402246475607,0.5934232300806891,0.7426753423839522,0.7057268731956796,0.6872032076415345,0.05007378299769258,7
23,0.008401775360107422,0.0004899598814474855,0.004201221466064453,0.000980289472466106,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.6901326342317394,0.7066713193268046,0.5743338648550884,0.7758196785182434,0.6698569000169017,0.6833628793897555,0.06512620079081191,8
24,0.017403650283813476,0.0042714015874589445,0.0032009601593017576,0.0007480224216343062,10,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
25,0.011402463912963868,0.0004898041858020194,0.0038010120391845704,0.0004000189335897701,10,0.001,poly,"{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}",0.11551742462783121,0.11579612478062662,0.10846829794326618,0.11056320644743511,0.14356339527465634,0.11878168981476309,0.012709142158609145,25
26,0.007401800155639649,0.0008000854442965448,0.003600597381591797,0.0004894928178104243,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.7005909659419876,0.7536242710081188,0.5967190880396387,0.7339789930574538,0.6958087385591564,0.696144411321271,0.054112233882232116,2
